review_id,created_at,channel,customer_type,product_category,product,verified_purchase,rating,review_text,sentiment
REV-100487,2025-01-12 23:07:00,website,new_customer,electronics,laptop,yes,5,smooth experience — this laptop was my recent purchase. I bought it during the sale.,positive
REV-107168,2025-03-02 02:08:00,social_media,premium_customer,beauty,face wash,yes,3,About the face wash: not bad but not great. This was my first order from the app. still,neutral
REV-112703,2026-05-28 14:53:00,mobile_app,new_customer,beauty,shampoo,yes,4,My experience with the shampoo was average experience. I ordered after reading other reviews. 👍,neutral
REV-101662,2025-03-26 16:41:00,marketplace,new_customer,beauty,shampoo,yes,4,The shampoo was quality feels premium. I bought it during the sale. tbh,positive
REV-110796,2025-05-06 13:53:00,website,returning_customer,electronics,laptop,no,5,I bought the laptop and honestly it was really happy with this. I ordered after reading other reviews. still,positive
REV-110385,2025-09-01 22:47:00,mobile_app,returning_customer,electronics,power bank,yes,5,My experience with the power bank was does the basic job. I have used it for about a month. 😕,neutral
REV-107139,2025-07-27 14:40:00,mobile_app,returning_customer,electronics,laptop,yes,1,delivery  was  normal  —  this  laptop  was  my  recent  purchase.  I  purchased  this  for  daily  use. still,neutral
REV-112812,2025-12-21 21:57:00,mobile_app,premium_customer,home,water bottle,yes,2,my experience with the water bottle was does not work properly. i purchased this for daily use.!!!,negative
REV-113167,2025-09-29 07:26:00,mobile_app,returning_customer,home,office chair,yes,2,about the office chair: package arrived damaged. i ordered it last week.for me,negative
REV-107225,2026-01-18 03:42:00,mobile_app,premium_customer,beauty,face wash,no,4,looks  great  —  this  face  wash  was  my  recent  purchase.  this  was  my  first  order  from  the  app. tbh,positive
REV-108627,2025-11-23 20:18:00,marketplace,new_customer,electronics,wireless earbuds,yes,3,my experience with the wireless earbuds was comfortable to use. i bought it during the sale.,positive
REV-107706,2025-03-11 21:56:00,mobile_app,returning_customer,beauty,shampoo,yes,3,The shampoo was easy to use. The packaging looked normal.,positive
REV-102009,2026-06-18 13:20:00,website,returning_customer,electronics,wireless earbuds,yes,4,The wireless earbuds was average experience. This was my first order from the app.for me,neutral
REV-104269,2026-05-22 12:13:00,mobile_app,premium_customer,fashion,hoodie,yes,5,About the hoodie: quality feels premium. I needed it for work. pls,positive
REV-109735,2026-03-14 17:25:00,mobile_app,returning_customer,electronics,laptop,yes,4,excellent quality — this laptop was my recent purchase. i ordered after reading other reviews. tbh,positive
REV-108145,2025-03-13 09:54:00,website,returning_customer,fashion,jeans,yes,3,about the jeans: the product is okay. i needed it for work.in my case,neutral
REV-111313,2025-08-28 09:51:00,marketplace,returning_customer,electronics,wireless earbuds,yes,1,my experience with the wireless earbuds was material feels cheap. this was a gift for my brother.,negative
REV-107887,2025-09-11 05:22:00,website,returning_customer,electronics,laptop,yes,1,stopped working after a few days — this laptop was my recent purchase. I ordered after reading other reviews.in my case,negative
REV-102616,2025-02-24 23:26:00,website,returning_customer,electronics,wireless earbuds,yes,5,My experience with the wireless earbuds was arrived safely. This was a gift for my brother.in my case,positive
REV-114472,2025-03-03 22:41:00,mobile_app,returning_customer,electronics,bluetooth speaker,yes,5,smooth experience — this bluetooth speaker was my recent purchase. I purchased this for daily use.,positive
REV-101022,2026-03-03 13:43:00,mobile_app,returning_customer,home,air fryer,no,3,I bought the air fryer and honestly it was very disappointed. I have used it for about a month. honestly,negative
REV-105066,2026-06-10 16:10:00,mobile_app,premium_customer,electronics,power bank,yes,1,The power bank was delivery was extremely late. I compared it with two other options. 👎,negative
REV-111538,2026-06-15 04:33:00,mobile_app,returning_customer,home,water bottle,yes,2,The water bottle was does the basic job. I needed it for work. pls,neutral
REV-102858,2025-04-21 16:32:00,mobile_app,returning_customer,fashion,backpack,yes,4,I bought the backpack and honestly it was nothing special about it. I compared it with two other options. lol,neutral
REV-110398,2026-01-01 04:13:00,mobile_app,returning_customer,home,coffee maker,yes,3,My experience with the coffee maker was not bad but not great. I purchased this for daily use. lol,neutral
REV-111784,2025-12-13 21:26:00,mobile_app,returning_customer,electronics,smartphone,yes,4,The smartphone was looks great. I ordered it last week. 😕,positive
REV-110390,2025-09-14 21:56:00,marketplace,returning_customer,electronics,bluetooth speaker,yes,3,I bought the bluetooth speaker and honestly it was quality is acceptable. This was my first order from the app.but yeah,neutral
REV-114179,2025-04-14 14:35:00,mobile_app,returning_customer,electronics,bluetooth speaker,no,3,great purchase — this bluetooth speaker was my recent purchase. I purchased this for daily use. pls,positive
REV-114758,2026-05-27 00:53:00,website,returning_customer,home,air fryer,yes,1,My experience with the air fryer was not worth the money. This was my first order from the app. still,negative
REV-104791,2026-02-09 22:25:00,mobile_app,returning_customer,home,air fryer,yes,2,battery drains quickly — this air fryer was my recent purchase. I ordered it last week.but yeah,negative
REV-109733,2025-01-24 04:44:00,mobile_app,returning_customer,electronics,smartphone,yes,1,i bought the smartphone and honestly it was received the wrong product. i ordered it last week. 😕,negative
REV-109115,2025-03-06 13:44:00,mobile_app,returning_customer,electronics,wireless earbuds,yes,5,I  bought  the  wireless  earbuds  and  honestly  it  was  would  definitely  recommend.  I  ordered  it  last  week.,positive
REV-100736,2026-01-25 01:40:00,marketplace,returning_customer,home,office chair,yes,1,my experience with the office chair was nothing special about it. i purchased this for daily use. honestly,neutral
REV-109173,2025-05-21 11:03:00,website,premium_customer,electronics,wireless earbuds,no,3,I bought the wireless earbuds and honestly it was delivery was normal. I ordered it last week.for me,neutral
REV-112638,2025-01-25 07:13:00,website,premium_customer,home,water bottle,yes,4,my experience with the water bottle was better than expected. i purchased this for daily use.in my case,positive
REV-113626,2025-04-12 00:57:00,marketplace,returning_customer,electronics,laptop,yes,3,I bought the laptop and honestly it was support did not solve my issue. I bought it during the sale. lol,negative
REV-112871,2025-12-15 04:26:00,mobile_app,returning_customer,electronics,laptop,no,5,The laptop was smooth experience. I needed it for work. pls,positive
REV-113318,2025-07-18 22:56:00,mobile_app,returning_customer,fashion,running shoes,yes,3,my experience with the running shoes was not worth the money. i ordered it last week.!!!,negative
REV-102874,2026-02-22 03:30:00,mobile_app,new_customer,electronics,laptop,yes,2,very disappointed — this laptop was my recent purchase. I ordered after reading other reviews. 😕,negative
REV-100542,2025-11-08 03:48:00,marketplace,new_customer,home,office chair,yes,4,The office chair was works perfectly. I ordered it last week.!!!,positive
REV-109709,2025-01-15 02:20:00,mobile_app,returning_customer,home,office chair,yes,1,I bought the office chair and honestly it was very good value for money. This was a gift for my brother. honestly,positive
REV-110289,2026-02-28 04:12:00,website,new_customer,home,coffee maker,no,5,about the coffee maker: better than expected. i purchased this for daily use. 👎,positive
REV-107879,2026-02-15 12:21:00,website,new_customer,beauty,shampoo,no,3,delivery  was  normal  —  this  shampoo  was  my  recent  purchase.  This  was  a  gift  for  my  brother. lol,neutral
REV-103755,2025-06-29 00:15:00,social_media,returning_customer,home,desk lamp,yes,5,really happy with this — this desk lamp was my recent purchase. I have used it for about a month.in my case,positive
REV-113691,2025-12-23 04:51:00,mobile_app,returning_customer,electronics,wireless earbuds,no,5,arrived safely — this wireless earbuds was my recent purchase. The packaging looked normal.,positive
REV-114305,2025-07-01 18:01:00,mobile_app,premium_customer,fashion,jeans,yes,5,My experience with the jeans was it is as expected. I have used it for about a month. imo,neutral
REV-111763,2025-02-25 06:31:00,website,returning_customer,fashion,running shoes,yes,3,my experience with the running shoes was delivery was extremely late. i bought it during the sale. lol,negative
REV-107412,2025-06-27 20:01:00,website,returning_customer,electronics,power bank,yes,3,arrived safely — this power bank was my recent purchase. I compared it with two other options.!!!,positive
REV-109393,2025-03-20 16:23:00,mobile_app,returning_customer,electronics,wireless earbuds,no,5,The wireless earbuds was item was missing. I ordered it last week. 🙂,negative
REV-108424,2026-05-05 04:42:00,website,returning_customer,home,desk lamp,no,5,the desk lamp was fast delivery and good packaging. i ordered after reading other reviews.!!!,positive
REV-114649,2026-03-26 18:29:00,mobile_app,returning_customer,electronics,smartphone,yes,5,about the smartphone: would definitely recommend. i compared it with two other options. 👎,positive
REV-111509,2026-05-07 03:56:00,mobile_app,returning_customer,home,air fryer,yes,5,customer support was helpful — this air fryer was my recent purchase. I needed it for work. btw,positive
REV-109248,2025-10-09 02:44:00,mobile_app,returning_customer,fashion,hoodie,yes,2,About  the  hoodie:  battery  drains  quickly.  I  needed  it  for  work.,negative
REV-107369,2026-01-25 03:03:00,mobile_app,returning_customer,electronics,wireless earbuds,yes,5,The wireless earbuds was comfortable to use. I bought it during the sale.,positive
REV-111170,2026-04-04 22:16:00,mobile_app,returning_customer,home,air fryer,yes,3,My experience with the air fryer was fast delvery and good packaging. I have used it for about a month. pls,positive
REV-103467,2025-08-13 06:21:00,mobile_app,new_customer,home,office chair,yes,2,About the office chair: excellent quality. This was a gift for my brother.but yeah,positive
REV-101632,2025-04-21 19:59:00,mobile_app,returning_customer,home,desk lamp,yes,4,my experience with the desk lamp was five stars from me. i ordered after reading other reviews.,positive
REV-110172,2025-02-24 22:20:00,website,returning_customer,fashion,hoodie,yes,4,really happy with this — this hoodie was my recent purchase. The order arrived in three days. honestly,positive
REV-109460,2026-01-20 17:13:00,mobile_app,returning_customer,home,water bottle,yes,5,fast delivery and good packaging — this water bottle was my recent purchase. I compared it with two other options. tbh,positive
REV-101547,2025-08-29 23:12:00,mobile_app,returning_customer,electronics,smartphone,yes,1,About the smartphone: not worth the money. I ordered it last week. 😕,negative
REV-109512,2026-06-18 01:40:00,mobile_app,new_customer,beauty,face wash,yes,5,i bought the face wash and honestly it was comfortable to use. i ordered it last week. 🙂,positive
REV-110264,2025-02-12 17:20:00,mobile_app,returning_customer,fashion,hoodie,yes,1,the hoodie was very disappointed. the packaging looked normal. imo,negative
REV-113673,2025-06-29 12:37:00,mobile_app,returning_customer,fashion,hoodie,yes,4,My experience with the hoodie was very good value for money. The order arrived in three days.for me,positive
REV-104012,2026-06-24 11:33:00,marketplace,returning_customer,home,office chair,yes,3,The office chair was it is as expected. This was a gift for my brother. tbh,neutral
REV-105900,2025-02-02 12:57:00,mobile_app,returning_customer,home,air fryer,yes,1,I bought the air fryer and honestly it was size is completely wrong. This was my first order from the app.!!!,negative
REV-110399,2025-01-23 23:40:00,mobile_app,new_customer,home,coffee maker,no,1,The coffee maker was product is not as described. The order arrived in three days.,negative
REV-111141,2025-07-02 00:18:00,website,returning_customer,home,air fryer,yes,3,I bought the air fryer and honestly it was exactly as described. I compared it with two other options.in my case,positive
REV-110050,2025-01-08 04:49:00,marketplace,returning_customer,fashion,backpack,yes,4,I bought the backpack and honestly it was totally worth it. This was a gift for my brother. tbh,positive
REV-107171,2025-01-07 05:36:00,mobile_app,new_customer,electronics,laptop,no,5,battery life is impressive — this laptop was my recent purchase. The packaging looked normal. 👍,positive
REV-104367,2026-03-20 18:06:00,mobile_app,,home,coffee maker,yes,3,About the coffee maker: bad experience. I bought it during the sale.!!!,negative
REV-110086,2025-02-06 02:54:00,marketplace,new_customer,beauty,sunscreen,no,5,works perfectly — this sunscreen was my recent purchase. I have used it for about a month.,positive
REV-100884,2026-03-22 01:20:00,website,premium_customer,electronics,wireless earbuds,no,4,My experience with the wireless earbuds was looks great. I purchased this for daily use.!!!,positive
REV-112171,2025-01-21 18:04:00,mobile_app,returning_customer,fashion,hoodie,yes,2,i bought the hoodie and honestly it was size is completely wrong. i needed it for work. pls,negative
REV-112956,2026-04-12 20:42:00,mobile_app,returning_customer,home,office chair,yes,5,About the office chair: totally worth it. I compared it with two other options.for me,positive
REV-102406,2025-02-05 21:12:00,website,new_customer,home,office chair,yes,3,About the office chair: average experience. I ordered it last week. still,neutral
REV-102760,2026-02-13 06:36:00,website,returning_customer,home,water bottle,yes,2,About the water bottle: battery drains quickly. The order arrived in three days.,negative
REV-107111,2025-02-25 04:52:00,website,premium_customer,fashion,backpack,yes,5,I bought the backpack and honestly it was easy to use. I bought it during the sale. still,positive
REV-102183,2025-08-29 00:08:00,mobile_app,returning_customer,electronics,laptop,yes,1,My experience with the laptop was package arrived damaged. I compared it with two other options. imo,negative
REV-107921,2026-05-20 15:22:00,mobile_app,returning_customer,home,air fryer,yes,4,About  the  air  fryer:  works  perfectly.  The  packaging  looked  normal. still,positive
REV-102448,2025-10-24 03:07:00,website,returning_customer,electronics,wireless earbuds,no,3,I bought the wireless earbuds and honestly it was mixed feelings about this purchase. I purchased this for daily use.but yeah,neutral
REV-109822,2026-06-03 17:03:00,website,new_customer,fashion,jeans,yes,2,About the jeans: the product is okay. I ordered after reading other reviews.,neutral
REV-107621,2026-06-12 05:22:00,website,,home,water bottle,yes,1,My experience with the water bottle was item was missing. I ordered it last week. 👎,negative
REV-114464,2025-05-02 15:04:00,website,returning_customer,home,air fryer,no,5,The air fryer was battery life is impressive. This was my first order from the app. 👎,positive
REV-102816,2025-03-29 10:23:00,marketplace,returning_customer,fashion,running shoes,yes,4,very good value for money — this running shoes was my recent purchase. I ordered it last week. 👍,positive
REV-109030,2026-02-21 13:00:00,website,new_customer,beauty,shampoo,yes,1,stopped working after a few days — this shampoo was my recent purchase. this was my first order from the app. 👎,negative
REV-109082,2025-07-20 14:59:00,mobile_app,premium_customer,electronics,wireless earbuds,yes,2,i bought the wireless earbuds and honestly it was product is not as described. this was a gift for my brother. pls,negative
REV-111024,2025-06-13 04:05:00,mobile_app,new_customer,home,office chair,yes,3,The office chair was smooth experience. The order arrived in three days. 👍,positive
REV-105117,2026-02-13 09:13:00,mobile_app,returning_customer,fashion,hoodie,yes,1,My experience with the hoodie was size is completely wrong. I purchased this for daily use.!!!,negative
REV-114815,2025-01-18 05:01:00,marketplace,returning_customer,fashion,hoodie,no,4,I bought the hoodie and honestly it was customer support was helpful. I ordered after reading other reviews.,positive
REV-100937,2025-04-09 03:58:00,marketplace,returning_customer,home,coffee maker,no,5,The coffee maker was easy to use. I purchased this for daily use.but yeah,positive
REV-110338,2025-09-17 13:11:00,mobile_app,new_customer,fashion,jeans,yes,5,About the jeans: fast delivery and good packaging. I purchased this for daily use.,positive
REV-100476,2025-09-25 00:17:00,mobile_app,returning_customer,fashion,backpack,yes,5,About the backpack: excellent quality. The order arrived in three days.!!!,positive
REV-103795,2026-01-12 21:50:00,website,returning_customer,beauty,face wash,yes,2,The face wash was nothing special about it. This was a gift for my brother.!!!,neutral
REV-113157,2026-04-02 00:02:00,mobile_app,new_customer,beauty,face wash,yes,3,My experience with the face wash was package arrived damaged. I compared it with two other options.!!!,negative
REV-112294,2025-12-30 07:51:00,mobile_app,returning_customer,fashion,hoodie,yes,4,My experience with the hoodie was works perfectly. This was a gift for my brother. 😕,positive
REV-106133,2025-06-09 03:36:00,marketplace,returning_customer,fashion,running shoes,yes,5,I bought the running shoes and honestly it was looks great. I ordered it last week. pls,positive
REV-107965,2025-01-11 03:15:00,mobile_app,new_customer,electronics,bluetooth speaker,no,4,The bluetooth speaker was comfortable to use. The packaging looked normal.!!!,positive
REV-113027,2025-01-07 21:21:00,mobile_app,premium_customer,fashion,jeans,yes,5,about the jeans: excellent quality. the packaging looked normal. tbh,positive
REV-105563,2026-03-07 08:55:00,mobile_app,premium_customer,fashion,running shoes,yes,4,the running shoes was customer support was helpful. i bought it during the sale. 😕,positive
REV-112755,2026-02-21 00:24:00,mobile_app,returning_customer,home,air fryer,yes,4,would definitely recommend — this air fryer was my recent purchase. I purchased this for daily use. imo,positive
REV-103707,2025-01-26 10:33:00,mobile_app,returning_customer,fashion,jeans,yes,5,I bought the jeans and honestly it was very good value for money. The order arrived in three days. btw,positive
REV-112520,2026-06-19 13:24:00,mobile_app,returning_customer,fashion,hoodie,yes,4,The hoodie was smooth experience. I ordered it last week.in my case,positive
REV-113209,2025-01-21 08:54:00,mobile_app,new_customer,electronics,laptop,yes,5,The laptop was five stars from me. This was my first order from the app.in my case,positive
REV-102215,2026-01-13 02:03:00,mobile_app,returning_customer,electronics,power bank,yes,3,I bought the power bank and honestly it was stopped working after a few days. The packaging looked normal. 👍,negative
REV-109858,2025-08-15 04:26:00,website,returning_customer,home,coffee maker,yes,4,smooth experience — this coffee maker was my recent purchase. I ordered after reading other reviews. btw,positive
REV-101373,2026-03-19 00:02:00,marketplace,returning_customer,beauty,sunscreen,yes,3,the product is okay — this sunscreen was my recent purchase. I ordered after reading other reviews.,neutral
REV-102680,2026-03-15 15:58:00,social_media,premium_customer,beauty,shampoo,no,5,My experience with the shampoo was really happy with this. This was a gift for my brother.,positive
REV-109264,2025-03-06 13:41:00,mobile_app,returning_customer,beauty,sunscreen,yes,1,The  sunscreen  was  poor  quality.  The  order  arrived  in  three  days.,negative
REV-113841,2025-11-14 01:41:00,marketplace,returning_customer,fashion,hoodie,yes,4,I bought the hoodie and honestly it was great purchase. I ordered after reading other reviews.in my case,positive
REV-100169,2025-03-20 16:56:00,marketplace,new_customer,beauty,shampoo,yes,3,I bought the shampoo and honestly it was it works for now. I bought it during the sale. honestly,neutral
REV-103355,2025-09-22 17:03:00,website,premium_customer,fashion,backpack,yes,3,About the backpack: battery drains quickly. I purchased this for daily use. imo,negative
REV-106951,2025-03-03 06:27:00,social_media,new_customer,electronics,power bank,yes,1,About the power bank: received the wrong product. I ordered it last week.in my case,negative
REV-112928,2025-07-25 19:59:00,marketplace,returning_customer,electronics,bluetooth speaker,yes,4,I bought the bluetooth speaker and honestly it was arrived safely. This was a gift for my brother. tbh,positive
REV-109594,2025-04-18 15:54:00,website,returning_customer,fashion,hoodie,yes,4,looks great — this hoodie was my recent purchase. I have used it for about a month. honestly,positive
REV-103087,2025-10-03 07:15:00,social_media,returning_customer,home,air fryer,yes,3,The air fryer was totally worth it. I bought it during the sale. btw,positive
REV-111744,2025-08-28 21:20:00,website,premium_customer,fashion,backpack,yes,1,The backpack was bad experience. I needed it for work. pls,negative
REV-111683,2025-12-24 21:38:00,mobile_app,returning_customer,beauty,sunscreen,yes,3,About the sunscreen: not bad but not great. I bought it during the sale.,neutral
REV-102189,2025-11-08 16:23:00,website,returning_customer,electronics,power bank,yes,2,The power bank was bad experience. I compared it with two other options. lol,negative
REV-100149,2025-07-22 15:20:00,website,new_customer,fashion,running shoes,yes,3,About the running shoes: nothing special about it. I bought it during the sale. 👎,neutral
REV-110545,2025-07-02 01:41:00,marketplace,new_customer,,backpack,yes,1,About the backpack: product is not as described. I compared it with two other options. btw,negative
REV-109974,2025-10-26 06:33:00,marketplace,new_customer,home,water bottle,no,3,very good value for mny — this water bottle was my recent purchase. I have used it for about a month.!!!,positive
REV-104359,2025-06-10 07:05:00,website,returning_customer,electronics,laptop,no,1,I bought the laptop and honestly it was item was missing. The order arrived in three days.!!!,negative
REV-101087,2025-08-25 15:01:00,mobile_app,new_customer,home,water bottle,no,3,my  experience  with  the  water  bottle  was  not  worth  the  money.  i  needed  it  for  work.!!!,negative
REV-108704,2025-06-24 01:15:00,marketplace,premium_customer,home,air fryer,yes,5,The air fryer was very good value for money. I needed it for work.,positive
REV-111998,2026-02-12 06:25:00,website,returning_customer,beauty,sunscreen,yes,2,the sunscreen was really happy with this. i have used it for about a month.,positive
REV-108917,2025-01-17 08:58:00,website,returning_customer,home,coffee maker,yes,4,comfortable to use — this coffee maker was my recent purchase. This was my first order from the app. 👎,positive
REV-105023,2025-05-16 19:22:00,mobile_app,returning_customer,electronics,smartphone,yes,4,I bought the smartphone and honestly it was battery life is impressive. I bought it during the sale.but yeah,positive
REV-107839,2025-07-03 17:29:00,mobile_app,returning_customer,electronics,wireless earbuds,no,4,I bought the wireless earbuds and honestly it was smooth experience. I needed it for work. lol,positive
REV-114858,2025-09-09 03:25:00,marketplace,returning_customer,home,office chair,no,4,I bought the office chair and honestly it was very good value for money. The order arrived in three days. pls,positive
REV-112232,2026-01-16 23:10:00,social_media,new_customer,electronics,power bank,no,3,My experience with the power bank was delivery was extremely late. I have used it for about a month. 🙂,negative
REV-102859,2025-12-21 15:43:00,mobile_app,returning_customer,home,office chair,yes,5,My experience with the office chair was better than expected. I ordered it last week.!!!,positive
REV-106109,2026-03-22 09:21:00,mobile_app,returning_customer,electronics,wireless earbuds,no,3,The wireless earbuds was would definitely recommend. This was my first order from the app. 👍,positive
REV-102150,2025-03-07 17:42:00,mobile_app,returning_customer,home,office chair,yes,3,about the office chair: comfortable to use. the packaging looked normal. btw,positive
REV-102879,2025-08-28 21:31:00,website,returning_customer,fashion,jeans,yes,1,About the jeans: not worth the money. The order arrived in three days.but yeah,negative
REV-107034,2026-03-02 17:46:00,website,new_customer,home,office chair,yes,3,refund is still pending — this office chair was my recent purchase. I ordered it last week. btw,negative
REV-104024,2025-09-28 22:03:00,mobile_app,returning_customer,fashion,jeans,yes,2,About the jeans: very disappointed. This was a gift for my brother. still,negative
REV-106462,2025-10-16 22:05:00,website,returning_customer,beauty,shampoo,yes,3,nothing special about it — this shampoo was my recent purchase. This was a gift for my brother.for me,neutral
REV-103011,2026-04-07 01:05:00,mobile_app,returning_customer,home,water bottle,no,4,The water bottle was excellent quality. I ordered it last week. 😕,positive
REV-108979,2025-08-17 00:44:00,mobile_app,returning_customer,beauty,sunscreen,yes,1,would not recommend this — this sunscreen was my recent purchase. I ordered after reading other reviews.for me,negative
REV-110710,2026-06-24 02:58:00,mobile_app,returning_customer,electronics,smartphone,yes,3,The smartphone was delivery was normal. I compared it with two other options. btw,neutral
REV-107752,2025-12-24 03:33:00,website,new_customer,beauty,sunscreen,no,4,The sunscreen was mixed feelings about this purchase. The order arrived in three days. 😕,neutral
REV-111051,2025-07-07 18:07:00,mobile_app,new_customer,electronics,bluetooth speaker,yes,5,better than expected — this bluetooth speaker was my recent purchase. i needed it for work. 👎,positive
REV-105766,2026-01-30 22:32:00,mobile_app,premium_customer,electronics,smartphone,yes,1,stopped working after a few days — this smartphone was my recent purchase. I purchased this for daily use. 🙂,negative
REV-110323,2026-04-20 07:53:00,website,returning_customer,electronics,wireless earbuds,yes,1,I bought the wireless earbuds and honestly it was received the wrong product. This was my first order from the app.!!!,negative
REV-105623,2026-01-19 18:11:00,mobile_app,returning_customer,fashion,hoodie,yes,3,smooth experience — this hoodie was my recent purchase. I bought it during the sale. 🙂,positive
REV-102344,2025-09-25 09:41:00,mobile_app,returning_customer,electronics,smartphone,yes,3,The smartphone was average experience. I have used it for about a month. btw,neutral
REV-114844,2025-08-23 19:13:00,mobile_app,returning_customer,home,desk lamp,yes,5,i  bought  the  desk  lamp  and  honestly  it  was  fast  delivery  and  good  packaging.  i  needed  it  for  work. btw,positive
REV-103433,2025-03-01 03:11:00,mobile_app,returning_customer,beauty,shampoo,yes,3,My experience with the shampoo was it works for now. This was a gift for my brother. 😕,neutral
REV-109932,2026-03-04 02:20:00,website,returning_customer,home,desk lamp,yes,4,My experience with the desk lamp was five stars from me. I ordered it last week.,positive
REV-104649,2025-12-07 07:15:00,mobile_app,premium_customer,home,coffee maker,yes,3,the  coffee  maker  was  quality  feels  premium.  i  needed  it  for  work.,positive
REV-104787,2025-01-30 18:17:00,mobile_app,returning_customer,home,coffee maker,yes,4,about the coffee maker: quality is acceptable. i ordered it last week.in my case,neutral
REV-103016,2026-04-20 04:11:00,mobile_app,returning_customer,home,air fryer,yes,4,it works for now — this air fryer was my recent purchase. I needed it for work. lol,neutral
REV-112507,2025-02-08 20:27:00,marketplace,premium_customer,home,office chair,yes,2,My experience with the office chair was delivery was extremely late. I ordered after reading other reviews.but yeah,negative
REV-101655,2026-01-22 19:19:00,mobile_app,returning_customer,fashion,running shoes,yes,4,My experience with the running shoes was totally worth it. I ordered it last week. pls,positive
REV-114210,2026-06-02 16:48:00,website,new_customer,fashion,backpack,yes,5,My experience with the backpack was works perfectly. I needed it for work. still,positive
REV-101053,2025-05-29 09:34:00,website,returning_customer,electronics,laptop,yes,1,I bought the laptop and honestly it was battery drains quickly. This was my first order from the app. tbh,negative
REV-107799,2025-11-29 06:39:00,mobile_app,new_customer,fashion,backpack,yes,2,About the backpack: excellent quality. The order arrived in three days. lol,positive
REV-101533,2025-03-24 21:14:00,mobile_app,new_customer,beauty,face wash,yes,4,I bought the face wash and honestly it was smooth experience. I ordered it last week. 🙂,positive
REV-106734,2026-03-06 14:32:00,marketplace,,home,air fryer,yes,2,I bought the air fryer and honestly it was product is not as described. The packaging looked normal. tbh,negative
REV-106554,2026-06-09 11:54:00,website,returning_customer,fashion,running shoes,yes,2,terrible experience — this running shoes was my recent purchase. i bought it during the sale. lol,negative
